HSCode,Description,Unit,Quantity,Imports_Value_Rs_Thousands,Imports_Value_Rs_Billion,Imports_Revenue_Rs_Thousands
78019100,"Unwrought lead, containing antimony as the  principale other element.",Kg,20050,12002.2345,0.012002,2238.549
78019900,Unwrought lead (excl refined and containi n  antimony),Kg,1369,165.543646,0.000166,31.008
78041100,"Lead sheets, strip and foil, =<02mm thick .",Kg,1953,586.181901,0.000586,175.633
78041900,"Lead plates, lead sheets, strip and foil,   02 mm thick, nes",Kg,1,0.20142,0,0.062
79011100,"Zinc, not alloyed, >=9999% pure",Kg,485884,287579.816,0.28758,29096.57
79011200,"Zinc, not alloyed, <9999% pure",Kg,10190,5581,0.005581,725.596
79012000,Zinc alloys,Kg,22011,12079.610405,0.01208,1570.77
79039000,Powders and flakes of zinc,Kg,10,22.78684,0.000023,4.251
79040000,"Zinc bars, rods, profiles and wire",Kg,3010,1917.600875,0.001918,357.699
79050000,"Zinc plates, sheets, strip and foil",Kg,3685,5215.637,0.005216,972.782
79070000,"Articles of zinc, nes",Kg,782.940004,543.315085,0.000543,139.586
80011000,"Tin, not alloyed, unwrought",Kg,833.949997,7464.843844,0.007465,1814.091
80030000,"Tin bars, rods, profiles and wire",Kg,5,1.5,0.000002,0.45
80070010,Empty container and box of tin,Kg,3918.300049,551.901013,0.000552,196.611
80070090,"Other articles of tin, nes   .",Kg,6816.7,448.311045,0.000448,159.808
81019400,"Unwrought tungsten, including bars and rod   obtained simply by sintering",Kg,4,12.96102,0.000013,2.419
81019900,"Articles of tungsten, nes",Kg,14.8,95.003653,0.000095,17.051
81039100,Crucibles,Kg,51.25,26.491811,0.000026,8.002
81059000,"Articles of cobalt, nes",Kg,0.45,0.67299,0.000001,0.202
81083000,Waste and scrap of titanium,Kg,2,1.9339,0.000002,0.928
81089000,"Articles of titanium, nes",Kg,5.26,15.84754,0.000016,4.748
81101000,Unwrought antimony; powders,Kg,88,829.358656,0.000829,248.396
82011010,Spades (Kodalo),PCS,39323,9792.43742,0.009792,489.696
82011090,"Shovels; hand tools, used in agriculture, horticulture or forestry",PCS,285513,36479.94924,0.03648,8872.498
82013000,"Mattocks, picks, hoes and rakes; hand tool  , used in agriculture, horticulturea.",PCS,2190,542.967397,0.000543,55.102
82014000,"Axes, bill hooks and similar hewing tools;  hand tools,used in agriculture,hortic",PCS,5842,785.271411,0.000785,78.77
82015000,Secateurs and similar one-handed pruners a  d shears (incl poultry shears); hand,PCS,1935,389.781796,0.00039,20.245
82016000,"Hedge shears, two-handed pruning shears an   similar two-handed shears; hand tool",PCS,265,149.107648,0.000149,14.915
82019010,Scythes timber wedges and other agricul tur l/forestry hand tools,PCS,655,89.975941,0.00009,4.569
82019090,Scythes timber wedges and other agricul tur l/forestry hand tools,PCS,11125,2984.864444,0.002985,149.517
82021000,Hand saws  .,PCS,34749,4109.103983,0.004109,767.173
82022000,Band saw blades,PCS,50062,8781.668433,0.008782,1639.044
82023100,Circular saw blades(incl slitting or slot t ng saw blades) with working part of s,PCS,742,1709.224527,0.001709,319.056
82023900,Circular saw blades(inclslittingblades  but exclwith working part of steel);p,PCS,92000,7616.524656,0.007617,1421.543
82024000,Chain saw blades  .,PCS,411,48.76884,0.000049,9.107
82029100,"Straight saw blades, for working metal",PCS,13919,292.235652,0.000292,54.648
82029900,"Saw blades, nes",PCS,5118,1489.943734,0.00149,279.543
82031000,"Files, raspsand similar tools",PCS,63502,1337.259187,0.001337,249.658
82032000,"Pliers, pincers, tweezers and similar tool",PCS,53662,6771.182256,0.006771,1283.168
82033000,Metal cutting shears and similar hand tool,PCS,1651,337.477528,0.000337,62.958
82034000,"Pipe-cutters, bolt croppers, perforating p  nches and similar tools",PCS,2606,1188.610263,0.001189,221.886
82041100,"Hand-operated spanners and wrenches, non-a  justable",PCS,42177,5356.655136,0.005357,897.622
82041200,"Hand-operated spanners and wrenches, adjus  able",PCS,16162,3275.985001,0.003276,619.021
82042000,"Interchangeable spanner sockets, with or w  thout handles",PCS,6955,2420.831618,0.002421,452.543
82051000,"Drilling, threading or tapping hand tools   .",PCS,24877,4151.903322,0.004152,793.909
82052000,Hammers and sledge hammers   .,PCS,38342,6613.832997,0.006614,1246.337
