HSCode,Description,Unit,Quantity,Exports_Value_Rs_Thousands,Exports_Value_Rs_Billion
41041900,"Other, leather of bovine or equine animals in the wet state (inclwet blue)",Kg,20000,3073.71525,0.003074
41051000,"Tanned or crust skins of sheep or lambs, wthout wool, in the wet state (inclu",Kg,12,76.03,0.000076
41062100,Tanned or crust hides and skins or goats or kids in the wet state (including wet.,Kg,48322,31500.283,0.0315
41079900,"Other, including hides (leather) nes",Kg,18127,1798.19837,0.001798
42022200,HandbagsWith outer surface of sheeting of plastics or of textile material,PCS,935,200.03266,0.0002
42023200,"Articles normally carried in pocket or han  bag, of plastics or textiles.",PCS,5000,145.103,0.000145
42023990,Others articles of felt carried in the pocket or handbag,PCS,631,121.05,0.000121
42029200,"Cases and containers, nes, with outer surf  ce ofplastic or textiles.",PCS,119063,34069.46891,0.034069
42029990,"Cases and containers, nes, with outer surf  ce of other materials, nes",PCS,1360,283,0.000283
44012110,Coniferous wood in chips or particles,Kg,201798,8071.92,0.008072
44081000,"Coniferous veneer sheets and sheets for pl  wood, etc, =<6mm thick",FTK,3880405,53820.76862,0.053821
44089000,"Veneer sheets and sheets for plywood and o  her wood, =<6mm thick, nes",FTK,9947880,205730.40706,0.20573
44123100,With at least one outer ply of tropical woo  specified in Subhead. Note 2 to this,MTQ,200390.338668,245386.84683,0.245387
44123900,Other plywood consisting solely of sheets   f wood,MTQ,53.780002,1208.21545,0.001208
44129900,"Other, with both outer plies of coniferous wood",Kg,10002512.993576,492717.23707,0.492717
44151000,"Cases, boxes, crates, drums and similar pa  kings of wood; cable-drums",PCS,287,452.26491,0.000452
44152000,"Pallets, box pallets and other load boards  of wood; pallet collars of wood",PCS,27,13.89934,0.000014
44181900,"Windows, French-windows and their frames of Other wood",PCS,3,11.56575,0.000012
44189900,"Other Builders' joinery&carpentry, panels, flooring, shingles&shakes (exl bamboo&wood",Kg,4006,471.27286,0.000471
44199000,Tableware and kitchenware of other wood,Kg,913,206.18589,0.000206
44209000,"Wood marquetry, inlaid wood; caskets & cases for jewellery a similar article of wood",Kg,688,531.99341,0.000532
44211000,Clothes hangers of wood,Kg,26,34.8,0.000035
44219910,"Spools, bobbins, reels and the like of wood",Kg,90,100.23622,0.0001
44219990,Others article of wood,Kg,6797.905,1649.40656,0.001649
47071000,Unbleached kraft paper or paperboard or co  rugated paper or paperboard,Kg,25,7.612,0.000008
48021000,Hand-made paper and paperboard,Kg,58651.250023,71156.57309,0.071157
48025700,Other paper & paperboard weighing 40 g/m2   r more but not more than 150 g/m2,Kg,67567.5,5909.58725,0.00591
48026100,"Paper (>10% of mechanical fibres), unco ate , in rolls, nes.",Kg,71312,5020.36487,0.00502
48059300,"Other paper, weighing 225 g/m2 or more",Kg,699783.099609,35197.55689,0.035198
48109900,"Other paper and paperboard, nes",Kg,60087.699707,3839.93655,0.00384
48201000,"Registers,accbooks,note books,order&recei p  books,letpad,memopadofpaper,pap.",Kg,45,262.0744,0.000262
48236900,"Other - Trays, dishes, plates, cups & the   ike of paper or paperboard",Kg,78604,4697.57813,0.004698
48239000,"Paper and paperboard, cut to size and arti  les of paper, etc, nes",Kg,855,92.8534,0.000093
49011000,"Printed books,brochures,leaflets&similar p  inted matter,in single sheets, whethe",PCS,620,380.1008,0.00038
49019900,"Printed books, brochures, leaflets and similar printed matter, nes",PCS,526,244.29838,0.000244
49029000,"Newspapers, journals and periodicals, appe  ring less than four times a week.",Kg,0.268,0.9114,0.000001
49059000,"Maps and hydrographic or similar charts of all kinds, atlases, etc not in book form",Kg,0.2,1.5,0.000002
49090000,"Printed or illustrated postcards; printed   ards bearing greetings, messages etc.",PCS,2612,411.70525,0.000412
49111000,"Trade advertising material, commercial cat  logues and the like",Kg,222,93.15753,0.000093
49119100,"Pictures, designs and photographs   .",Kg,29.49,19.9688,0.00002
49119990,Other Printed Materials  .,Kg,14.55,17.9273,0.000018
51071000,"Yarn of combed wool, not put up for retail  sale, with >=85% weight of wool",Kg,566,543.36,0.000543
52111100,"Unbleached plain cotton weave, with <85% c  tton, >200g/m2 by weight",SQM,655,99.7172,0.0001
53021000,"True hemp, raw or retted  .",Kg,120,35.176,0.000035
53072000,Multiple or cabled yarn of jute or of othe   textile bast fibres of heading 5303.,Kg,429620,99910.29529,0.09991
